title,fb_likes,rt_aud_score,M13-17,M18-24,M25-34,M35-44,M45-54,M55-65,F13-17,F18-24,F25-34,F35-44,F45-54,F55-65,action,animated,comedy,documentary,drama,horror,sci_fi,influencer_pen,yt_pct_comments
Game of Thrones,19845591,0.95,0.00,0.12,0.23,0.11,0.05,0.03,0.00,0.08,0.18,0.10,0.05,0.04,-0.16,0.09,-0.26,-0.04,0.03,0.12,0.22,0.01,0.00097
Orange is the New Black,6900084,0.88,0.00,0.04,0.05,0.02,0.01,0.01,0.03,0.28,0.33,0.14,0.06,0.03,-0.23,0.12,-0.26,-0.06,0.11,0.15,0.18,0.02,0.00099
Stranger Things,3693813,0.89,0.01,0.08,0.13,0.07,0.02,0.01,0.02,0.22,0.30,0.10,0.04,0.02,-0.28,0.19,-0.34,-0.12,0.05,0.18,0.33,0.02,0.00067
Narcos,3343567,0.95,0.01,0.17,0.31,0.14,0.04,0.02,0.00,0.08,0.13,0.07,0.02,0.01,0.03,-0.03,-0.22,0.16,-0.14,0.07,0.14,0.01,0.00038
House of Cards,2814542,0.91,0.00,0.09,0.17,0.12,0.07,0.07,0.00,0.07,0.10,0.08,0.07,0.14,-0.17,0.03,-0.26,0.18,0.01,0.01,0.21,0.01,0.00050
Marvel: Daredevil,2554180,0.95,0.02,0.19,0.29,0.18,0.06,0.02,0.01,0.07,0.09,0.05,0.02,0.01,-0.06,0.18,-0.46,-0.18,-0.07,0.03,0.57,0.01,0.00049
Bojack Horseman,567402,0.94,0.01,0.30,0.28,0.05,0.01,0.01,0.01,0.16,0.13,0.03,0.01,0.01,-0.21,0.60,-0.32,-0.07,-0.22,0.07,0.15,0.01,0.00050
Marvel's Luke Cage,535014,0.88,0.01,0.18,0.37,0.24,0.08,0.02,0.00,0.02,0.03,0.02,0.01,0.01,-0.06,0.17,-0.39,-0.19,-0.09,0.06,0.51,0.07,0.00088
Making a Murderer,467156,0.96,0.00,0.02,0.11,0.08,0.03,0.01,0.00,0.07,0.35,0.23,0.08,0.03,-0.14,-0.10,-0.24,0.26,0.04,0.09,0.09,0.01,0.00072
The Crown,317675,0.92,0.00,0.04,0.07,0.04,0.03,0.03,0.00,0.10,0.21,0.18,0.14,0.16,-0.24,0.05,-0.30,0.12,0.09,0.06,0.23,0.11,0.00036
Bloodline,140000,0.88,0.00,0.04,0.11,0.09,0.05,0.03,0.00,0.04,0.17,0.21,0.16,0.09,-0.13,-0.18,-0.21,0.33,0.04,0.05,0.10,0.04,0.00024
